anoxie anOksi
anschluss @Slys
antécambriens @tek@bRj5
antédiluviennes @tedilyvjEn
anthozoaires @tOzOER
anthropométrie @tROpOmetRi
anthroponymiques @tROpOnimik
antibactériens @tibakteRj5
anticathodes @tikatOd
anticipantes @tisip@t
anticoagulants @tikOagyl@
anticommunisme @tikOmynism
antidiphtérique @tidifteRik
antifriction @tifRiksj1
antigaullistes @tigOlist
antimilitarisme @timilitaRism
antinationaliste @tinasjOnalist
antinomiste @tinOmist
antipodes @tipOd
antipolitique @tipOlitik
antiraciste @tiRasist
antisoviétiques @tisOvjetik
antisoviétisme @tisOvjetism
antituberculeuses @titybERkyl2z
anxieusement @ksj2zm@
aouls aul
août u
apaiserait apEzRE
apatride apatRid
apercevaient apERs*vE
aperçus apERsy
apéros apeRO
apeurer ap9Re
aphotique afOtik
apitoyée apitwaje
apitoyons apitwaj1
aplatie aplati
apnée apne
apochromatique apOkROmatik
aponévrose apOnevROz
aposporie apOspORi
apostrophait apOstROfE
apparaissiez apaREsje
apparatchiks apaRatSik
appareiller apaReje
apparentés apaR@te
apparents apaR@
appartenu apaRt*ny
appartint apaRt5
appâte apat
appâts apa
appauvrie apOvRi
appelassent aplas
appelée aple
appellation apElasj1
appesantirent ap*z@tiR
appesantissais ap*z@tisE
applaudit aplOdi
applique aplik
appliqueront aplikR1
appontements ap1tm@
apportas apORta
apports apOR
apprécierait apResiRE
appréciions apResij1
apprendraient apR@dRE
apprêt apRE
apprêteuse apREt2z
apprit apRi
approbatif apRObatif
approchaient apROSE
approchés apROSe
approfondis apROf1di
appropriations apROpRijasj1
approuvâmes apRuvam
approuvions apRuvj1
approximatives apROksimativ
appuierai ap8iRE
âpreté apR*te
aptien apsj5
aquarellait akwaRElE
arabes aRab
arachnoïde aRaknOid
araignée aRENe
arbalètes aRbalEt
arbitrages aRbitRaZ
arbore aRbOR
arborée aRbORe
arbousier aRbuzje
archaïsant aRkaiz@
archée aRke
archicube aRSikyb
archiprêtre aRSipREtR
archivolte aRSivOlt
arcure aRkyR
ardoisés aRdwaze
ardre aRdR
argentines aRZ@tin
arginine aRZinin
argousins aRguz5
arides aRid
aristocrates aRistOkRat
arithmétiquement aRitmetikm@
armeraient aRm*RE
armerais aRm*RE
armuriers aRmyRje
aromates aROmat
aromatisées aROmatize
arpège aRpEZ
arquebusier aRk*byzje
arrachant aRaS@
arraisonné aREzOne
arraisonner aREzOne
arrangerons aR@ZR1
arrêterons aREtR1
arrêtiez aREtje
arrimait aRimE
arrimé aRime
arrivé aRive
arriverons aRivR1
arrogant aROg@
arrosa aROza
arrosais aROzE
arrosée aROze
artabans aRtab@
arthrosique aRtROzik
articulaient aRtikylE
artificielles aRtifisjEl
artificieux aRtifisj2
artistique aRtistik
aryennes aRjEn
aryle aRil
ascendait as@dE
ascète asEt
ascidies asidi
asiarque azjaRk
asine azin
aspergent aspERZ
asphyxient asfiksi
aspiratif aspiRatif
aspirées aspiRe
asques ask
assainies aseni
assaisonnement asEzOnm@
assassine asasin
assécha aseSa
assemblerait as@bl*RE
assembleurs as@bl9R
assertions asERsj1
asseyaient asEjE
asseyions asEjj1
assiégeant asjeZ@
assignent asiN
assimila asimila
assimilera asimilRa
assiste asist
assisterai asistRE
associait asOsjE
association asOsjasj1
assoiffent aswaf
assolements asOlm@
assombrissait as1bRisE
assommée asOme
assonance asOn@s
assoupir asupiR
assouplit asupli
assourdies asuRdi
assouvissent asuvis
assujettit asyZeti
assumeraient asymRE
assurerais asyRRE
assurez asyRe
asthéniques astenik
asti asti
astiquée astike
astreignions astRENj1
astreintes astR5t
astronomies astROnOmi
astructurelles astRyktyREl
asymptotiques as5ptOtik
atemporels at@pOREl
atermoiement atERmwam@
athéromatose ateROmatOz
atomique atOmik
atomistes atOmist
atrocité atROsite
atrophiées atROfje
attablé atable
attaches ataS
attachions ataSj1
attaqueras atakRa
attardent ataRd
attarderons ataRd*R1
atteindrai at5dRE
atteints at5
attelles atEl
attendit at@di
attendrais at@dRE
attendrissent at@dRis
attentifs at@tif
attentionnés at@sjOne
atténuerait atenyRE
atterrit atERi
attester atEste
attifement atifm@
attirent atiR
attirerez atiR*Re
attises atiz
attractions atRaksj1
attractives atRaktiv
attrayant atREj@
attribuerais atRibyRE
attributif atRibytif
attrition atRisj1
attrouperaient atRupRE
aubettes ObEt
audienciers Odj@sje
auditions Odisj1
auge OZ
augurai OgyRE
augures OgyR
aulx O
auréolées OReOle
aurifères ORifER
aurifiées ORifje
austère OstER
australien OstRalj5
authentiquement Ot@tikm@
autocar OtOkaR
autocommutateurs OtOkOmytat9R
autofécondation OtOfek1dasj1
autogestion OtOZEstj1
automatisme OtOmatism
automédon OtOmed1
automoteurs OtOmOt9R
autoradiographie OtORadjOgRafi
autorisée OtORize
autorisent OtORiz
autosuggestionna OtOsygZEstjOna
autours OtuR
aux O
avala avala
avalaient avalE
avalèrent avalER
avances av@s
avantage av@taZ
avarement avaRm@
avaries avaRi
avé ave
avent av@
aventuré av@tyRe
aventurèrent av@tyRER
avertissement avERtism@
aveuglantes av9gl@t
aveugles av9gl
avidement avidm@
avilir aviliR
avionnettes avjOnEt
avisât aviza
avisèrent avizER
avocats avOka
avons av1
avorter avORte
avouâmes avwam
avouerais avuRE
axiologie aksjOlOZi
axiomatique aksjOmatik
aymaras EmaRa
azoïques azOik
azotémie azOtemi
babil babil
babouvisme babuvism
babylonienne babilOnjEn
bacillaires basilER
bâclée bakle
bactérienne bakteRjEn
bactériostatique bakteRjOstatik
badigeonnions badiZOnj1
badigoinces badigw5s
bafoue bafu
bâfré bafRe
bagage bagaZ
bagages bagaZ
bagouses baguz
baguette bagEt
bahuts bay
baignons bEN1
baille baj
bâilles baj
baisai bEzE
baisé beze
baissa bEsa
balade balad
baladeurs balad9R
balaierait balERE
balancées bal@se
balancement bal@sm@
balayerait balEjRE
balayer baleje
balbutie balbysi
baleiné balene
balèze balEz
balisait balizE
ballant bal@
ballet balE
ballonnés balOne
balnéaires balneER
balourdises baluRdiz
banalisées banalize
banane banan
bandaisons b@dEz1
banderai b@dRE
bandit b@di
bannirait baniRE
bannissements banism@
banquistes b@kist
baptiseur batiz9R
baptismale batismal
baralipton baRalipt1
barattait baRatE
barbants baRb@
barbette baRbEt
barbillon baRbij1
barboteuse baRbOt2z
barbouzes baRbuz
barbu baRby
bardot baRdO
bariolages baRjOlaZ
barmaid baRmEd
barouf baRuf
barraient baRE
barrez baRe
barristes baRist
barrit baRi
barzoï baRzOj
basaux bazO
basculants baskyl@
basic bazik
basilique bazilik
basque bask
baste bast
bastide bastid
batave batav
bat ba
bateaux batO
batik batik
bâtiment batim@
bâtirais batiRE
bâtonnet batOnE
battante bat@t
battiez batje
bau bO
baudelairiens bOdlERj5
bavants bav@
bavarois bavaRwa
bavassait bavasE
bavé bave
bazardant bazaRd@
beagle big9l
béarnaise beaRnEz
béates beat
bécotait bekOtE
becqué bEke
becquetance bEkt@s
bedonnante b*dOn@t
bées be
bégayante begej@t
bêlaient bElE
bêler bele
belge bElZ
belgique bElZik
béline belin
belotte b*lOt
bémolisé bemOlize
bénédictions benediksj1
bénéfices benefis
bénissaient benisE
benoîtes b*nwat
benzoïque b5zOik
béotienne beOsjEn
berçait bERsE
berceurs bERs9R
berdouillette bERdujEt
bergsonisme bERgsOnism
bermudas bERmyda
bésicles bezikl
besogneuses b2zON2z
bestiaires bEstjER
bêtifié betifje
bétonneuses betOn2z
beuglement b2gl*m@
beurrage b9RaZ
beurrés b9Re
biberonneurs bibROn9R
biberons bibR1
biblique biblik
bicéphalisme bisefalism
biches biS
bichonner biSOne
bidonnaient bidOnE
bielle bjEl
bientôt bj5tO
bienveillante bj5vEj@t
bifide bifid
bigamie bigami
bigarrure bigaRyR
bignonias biNOnja
bigots bigO
bihoreau biORO
biliaire biljER
bilingue bil5g
bills bil
binauriculaire binORikylER
binette binEt
biochimistes bjOSimist
biogéographie bjOZeOgRafi
biomorphique bjOmORfik
bip bip
biplans bipl@
birationnelles biRasjOnEl
biscornue biskORny
biscornues biskORny
bismuthique bismytik
bissextile bisEkstil
bistroquet bistROkE
bitumé bityme
biunivoques biynivOk
bizarrement bizaRm@
blaguait blagE
blaguant blag@
blâmant blam@
blancheur bl@S9R
blanchissement bl@Sism@
blanchit bl@Si
blasés blaze
blasons blaz1
blasphématoires blasfematwaR
blême blEm
blêmir blemiR
blesserait blEsRE
blessure blesyR
bleuissaient bl2isE
blinder bl5de
blindés bl5de
blondis bl1di
bloquer blOke
blotties blOti
bluff bl9f
bluffent bl9f
bobinoirs bObinwaR
bocager bOkaZe
bocson bOks1
boirait bwaRE
boirons bwaR1
boisés bwaze
boives bwav
bolas bOla
bolée bOle
bombardâmes b1baRdam
bombarde b1baRd
bonapartiste bOnapaRtist
bonbonne b1bOn
bondissaient b1disE
boniche bOniS
bonnard bOnaR
bonnie bOni
bonsoir b1swaR
borax bORaks
bordas bORda
bordier bORdje
borée bORe
bornait bORnE
borne bORn
bortsch bORtS
bosse bOs
bossellements bOsElm@
boston bOst1
botta bOta
botterais bOtRE
boucanée bukane
boucanerie bukanRi
bouchée buSe
bouchez buSe
bouclaient buklE
boudaient budE
bouderai budRE
boudinaient budinE
bouffante buf@t
bouffent buf
bouffon buf1
bougeantes buZ@t
bougées buZe
bougent buZ
bougonnaient bugOnE
bouille buj
bouillonnèrent bujOnER
bouillottes bujOt
bouledogues buldOg
bouleverserait bulvERs*RE
bouleverserons bulvERs*R1
boulonnait bulOnE
boulus buly
bouquetin bukt5
bourbons buRb1
bourdonna buRdOna
bourge buRZ
bourgs buR
bourgues buRg
bourratives buRativ
bourriches buRiS
bourrines buRin
boursouflure buRsuflyR
bousculades buskylad
bousculée buskyle
boustifaille bustifaj
boustrophédon bustROfed1
bouteur but9R
boutonner butOne
boutonnière butOnjER
bouzy buzi
boxait bOksE
boyards bOjaR
braco bRakO
braconnant bRakOn@
bragard bRagaR
braillements bRajm@
brailleurs bRaj9R
brament bRam
branchait bR@SE
branchiale bR@Sjal
brandirent bR@diR
brandisse bR@dis
branlement bR@lm@
braquait bRakE
braque bRak
brasille bRazij
brassé bRase
brasses bRas
brayaient bREjE
brebis bR*bi
bredouillé bR*duje
bretteurs bREt9R
brève bREv
bricolaient bRikOlE
bridant bRid@
bridgeons bRidZ1
brigandasse bRig@das
briguaient bRigE
brillantage bRij@taZ
brimait bRimE
brimbala bR5bala
bringuebalants bR5gbal@
briquait bRikE
briquetage bRiktaZ
brisera bRizRa
brisions bRizj1
british bRitiS
brocher bROSe
brochets bROSE
brodera bROdRa
bromure bROmyR
bronchais bR1SE
bronzait bR1zE
brooks bRuk
brossant bROs@
brouilla bRuja
brouillamini bRujamini
brouillons bRuj1
broutaient bRutE
broutantes bRut@t
broyait bRwajE
brucelles bRysEl
bruire bR8iR
brûlables bRylabl
brûlasse bRylas
brûlât bRyla
brun bR1
bruni bRyni
brusqua bRyska
brutalisé bRytalize
brutaliserait bRytalizRE
bubon byb1
budgets bydZE
buisson b8is1
buissonnaient b8isOnE
bulldozers byldOzER
buralistes byRalist
bureaucratiquement byROkRatikm@
burne byRn
bush buS
butais bytE
butinées bytine
butoir bytwaR
buvais byvE
bye baj
byzantin biz@t5
cabalistique kabalistik
cabèches kabES
cabinets kabinE
cabotaient kabOtE
cabotiner kabOtine
cabriolets kabRijOlE
cachaient kaSE
cachât kaSa
cacheter kaSte
cachetonnais kaStOnE
cadastrales kadastRal
cadavéreuse kadaveR2z
cadencées kad@se
cadrages kadRaZ
cadrerait kadR*RE
cafetier kaf*tje
cafeton kaft1
cafté kafte
cagnes kaN
cagnottes kaNOt
cahotèrent kaOtER
caillebotis kajbOti
cailloux kaju
cajoleur kaZOl9R
cajou kaZu
calamistrés kalamistRe
calcanéenne kalkaneEn
calce kals
calcula kalkyla
calculée kalkyle
calculerait kalkylRE
caleur kal9R
calfat kalfa
calfeutré kalf2tRe
californiennes kalifORnjEn
californiens kalifORnj5
câliner kaline
câlines kalin
callipyge kalipiZ
calmement kalm*m@
calmez kalme
calorifique kalORifik
calorimétrique kalORimetRik
calquent kalk
calvities kalvisi
calypso kalipsO
camaïeu kamaj2
cambrien k@bRj5
cambriolent k@bRijOl
cameraman kameRaman
camions kamj1
camoufler kamufle
campanules k@panyl
campât k@pa
campement k@pm@
canada kanada
canaillement kanajm@
canard kanaR
canas kana
cancans k@k@
candidates k@didat
candidement k@didm@
caniculaire kanikylER
cannelée kanle
canneraient kanRE
canoë kanOe
canonisée kanOnize
canotage kanOtaZ
canton k@t1
cantonnai k@tOnE
cantons k@t1
caoutchouté kautSute
caoutchoutière kautSutjER
capillarité kapilaRite
capitalismes kapitalism
capiteuse kapit2z
capitulerez kapitylRe
caporalisme kapORalism
caprice kapRis
capté kapte
capte kapt
captivèrent kaptivER
capuchons kapyS1
caquette kakEt
carabinier kaRabinje
caractère kaRaktER
caractérisées kaRakteRize
caractérologie kaRakteROlOZi
caraïbes kaRaib
caramélisé kaRamelize
caravanière kaRavanjER
carbonés kaRbOne
carburation kaRbyRasj1
carcinologie kaRsinOlOZi
cardée kaRde
cardigan kaRdig@
cardinale kaRdinal
caressent kaREs
caresserais kaREsRE
caricaturistes kaRikatyRist
cari kaRi
carillonnent kaRijOn
carmina kaRmina
carminées kaRmine
carnivores kaRnivOR
carotène kaROtEn
carottier kaROtje
carrant kaR@
carrelée kaRle
carrières kaRjER
cartable kaRtabl
carters kaRtER
cartésianisme kaRtezjanism
cartésien kaRtezj5
cartomancienne kaRtOm@sjEn
casant kaz@
cascadé kaskade
caserne kazERn
casquette kaskEt
cassable kasabl
cassements kasm@
cassine kasin
cassin kas5
castillanes kastijan
castrée kastRe
casuistiques kaz8istik
catalanes katalan
catalogue katalOg
catalyseur kataliz9R
catarrhal kataRal
catarrheuse kataR2z
catégorise kategORiz
cathartiques kataRtik
catins kat5
catogans katOg@
cauchemarder kOSmaRde
causais kOzE
causeries kOzRi
causette kOzEt
cauteleuses kOtl2z
cavalais kavalE
cavalcadait kavalkadE
caver kave
caviardées kavjaRde
cayennes kajEn
cédants sed@
cédé sede
ceinturée s5tyRe
ceinturer s5tyRe
céladon selad1
célébrerait selebRE
célébrés selebRe
cellulose selylOz
cendrées s@dRe
cendré s@dRe
cénotaphe senOtaf
centaures s@tOR
centièmes s@tjEm
centralisant s@tRaliz@
centrifugeuse s@tRifyZ2z
centripète s@tRipEt
centupler s@typle
cerdan sERd@
cérémoniale seRemOnjal
cérium seRjOm
certain sERt5
certifions sERtifj1
cérusage seRyzaZ
cerveaux sERvO
cessera sesRa
cessez sese
cétoine setwan
cévenol sevnOl
cf seEf
chagrinait SagRinE
chagrina SagRina
chahutées Sayte
chaînes SEn
chaldéenne kaldeEn
chaleureuse Sal9R2z
chamaillaient SamajE
chamaillèrent SamajER
chambardement S@baRd*m@
chambrer S@bRe
chambrière S@bRijER
champignon S@piN1
chancelaient S@slE
chancelantes S@sl@t
chandelles S@dEl
changements S@Zm@
changes S@Z
chantaient S@tE
chantants S@t@
chanteuse S@t2z
chantournées S@tuRne
chantres S@tR
chapardé SapaRde
chapelier Sap*lje
chaperonnée SapROne
charades SaRad
charbonnaient SaRbOnE
charcutailles SaRkytaj
chargeait SaRZE
chargeant SaRZ@
chariots SaRjO
charlatans SaRlat@
charmante SaRm@t
charnue SaRny
charolais SaROlE
charre SaR
charrières SaRjER
charrié SaRje
chartreuses SaRtR2z
chasserait SasRE
chasseur Sas9R
châtaigner SatENe
châteaubriant SatObRij@
chatoiements Satwam@
chatouiller Satuje
chatoyantes Satwaj@t
châtrons SatR1
chauffait SOfE
chauffantes SOf@t
chaufourniers SOfuRnje
chausserai SOsRE
chausseur SOs9R
chavirements SaviRm@
cheikh SEk
cheminâmes S*minam
chemisage S*mizaZ
chenu S*ny
chèques SEk
chéquier Sekje
chercheriez SERS*Rje
cherches SERS
chétives Setiv
chétivité Setivite
chevalerie S*valRi
chevauchais S*vOSE
chevaucheurs S*vOS9R
chevillées S*vije
chevreuils S2vR9j
chevrotée S2vROte
chiante Sj@t
chianti kj@ti
chiche SiS
chicotte SikOt
chiennerie SjEnRi
chiffonnières SifOnjER
chiffraient SifRE
chignons SiN1
chimériquement SimeRikm@
chiots SjO
chipotais SipOtE
chippendale SipEndal
chiroptères kiROptER
chitineuse Sitin2z
chloral klORal
chlorurées klORyRe
chlorure klORyR
choieront SwaR1
choisissais SwazisE
choisissions Swazisj1
chopant SOp@
chopé SOpe
choquerait SOkRE
chorégraphie kORegRafi
choréiques kOReik
choucroutes SukRut
choyant Swaj@
choyés Swaje
chromatogramme kROmatOgRam
chromosomique kROmOzOmik
chronique kROnik
chronométriques kROnOmetRik
chronophotographie kROnOfOtOgRafi
chtoniennes ktOnjEn
chuchotés SySOte
chuchoté SySOte
chuté Syte
cibles sibl
cicatrisait sikatRizE
cicatrisé sikatRize
cigle sigl
cil sil
cils sil
cimmériennes simeRjEn
cinabre sinabR
cinéastes sineast
cinoques sinOk
cintres s5tR
cippes sip
circoncire siRk1siR
circonscrire siRk1skRiR
circonvallations siRk1valasj1
circonvenir siRk1vniR
circulations siRkylasj1
cirerait siRRE
cireuses siR2z
cisaillement sizajm@
ciselaient sizlE
cisrhénane sisRenan
citerais sitRE
cites sit
citronnier sitROnje
civile sivil
civilisateur sivilizat9R
clabotent klabOt
clairières klERjER
claironnions klEROnj1
clamecé klamse
clamions klamj1
clandestinités kl@dEstinite
clapote klapOt
clapotements klapOtm@
claquemurant klakmyR@
claquetèrent klaktER
clarifia klaRifja
classant klas@
classerais klasRE
classifié klasifje
claustral klOstRal
claviste klavist
clémentines klem@tin
clepsydres klEpsidR
clicher kliSe
clignotant kliNOt@
clignoteurs kliNOt9R
climatisées klimatize
cliquetaient kliktE
cliquet klikE
clivé klive
clochetons klOSt1
cloison klwaz1
cloîtré klwatRe
cloître klwatR
cloporte klOpORt
clos klO
cloueraient kluRE
cnémides knemid
coacquéreurs kOakeR9R
coalisées kOalize
coaxiales kOaksjal
cocarde kOkaRd
cochenilles kOSnij
cochlée kOkle
cockney kOknE
cocufier kOkyfje
coda kOda
codifiées kOdifje
coenzyme kO@zim
coexistant kOegzist@
coffrée kOfRe
cogitent kOZit
cognes kON
cohérences kOeR@s
cohérent kOeR@
coiffiez kwafje
coincher kw5Se
coïncidait kO5sidE
